run,tag,step,value
mc_real_v11_no_chat_spam,train/clip_fraction,5120,0.138672
mc_real_v11_no_chat_spam,train/clip_fraction,5632,0.202148
mc_real_v11_no_chat_spam,train/clip_fraction,6144,0.266113
mc_real_v11_no_chat_spam,train/clip_fraction,6656,0.204102
mc_real_v11_no_chat_spam,train/clip_range,1024,0.2
mc_real_v11_no_chat_spam,train/clip_range,1536,0.2
mc_real_v11_no_chat_spam,train/clip_range,2048,0.2
mc_real_v11_no_chat_spam,train/clip_range,2560,0.2
mc_real_v11_no_chat_spam,train/clip_range,3072,0.2
mc_real_v11_no_chat_spam,train/clip_range,3584,0.2
mc_real_v11_no_chat_spam,train/clip_range,4096,0.2
mc_real_v11_no_chat_spam,train/clip_range,4608,0.2
mc_real_v11_no_chat_spam,train/clip_range,5120,0.2
mc_real_v11_no_chat_spam,train/clip_range,5632,0.2
mc_real_v11_no_chat_spam,train/clip_range,6144,0.2
mc_real_v11_no_chat_spam,train/clip_range,6656,0.2
mc_real_v11_no_chat_spam,train/entropy_loss,1024,-2.04036
mc_real_v11_no_chat_spam,train/entropy_loss,1536,-2.04666
mc_real_v11_no_chat_spam,train/entropy_loss,2048,-2.06328
mc_real_v11_no_chat_spam,train/entropy_loss,2560,-1.93942
mc_real_v11_no_chat_spam,train/entropy_loss,3072,-1.65309
mc_real_v11_no_chat_spam,train/entropy_loss,3584,-1.65565
mc_real_v11_no_chat_spam,train/entropy_loss,4096,-1.59866
mc_real_v11_no_chat_spam,train/entropy_loss,4608,-1.51287
mc_real_v11_no_chat_spam,train/entropy_loss,5120,-1.60367
mc_real_v11_no_chat_spam,train/entropy_loss,5632,-1.65693
mc_real_v11_no_chat_spam,train/entropy_loss,6144,-1.73758
mc_real_v11_no_chat_spam,train/entropy_loss,6656,-1.73951
mc_real_v11_no_chat_spam,train/explained_variance,1024,-2.79032
mc_real_v11_no_chat_spam,train/explained_variance,1536,0.00179547
mc_real_v11_no_chat_spam,train/explained_variance,2048,0.810739
mc_real_v11_no_chat_spam,train/explained_variance,2560,-0.304023
mc_real_v11_no_chat_spam,train/explained_variance,3072,-0.0141861
mc_real_v11_no_chat_spam,train/explained_variance,3584,0
mc_real_v11_no_chat_spam,train/explained_variance,4096,0
mc_real_v11_no_chat_spam,train/explained_variance,4608,0
mc_real_v11_no_chat_spam,train/explained_variance,5120,-1.19209e-07
mc_real_v11_no_chat_spam,train/explained_variance,5632,0
mc_real_v11_no_chat_spam,train/explained_variance,6144,0
mc_real_v11_no_chat_spam,train/explained_variance,6656,0
mc_real_v11_no_chat_spam,train/learning_rate,1024,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,1536,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,2048,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,2560,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,3072,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,3584,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,4096,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,4608,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,5120,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,5632,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,6144,0.00025
mc_real_v11_no_chat_spam,train/learning_rate,6656,0.00025
mc_real_v11_no_chat_spam,train/loss,1024,61.0437
mc_real_v11_no_chat_spam,train/loss,1536,4.19565
mc_real_v11_no_chat_spam,train/loss,2048,4.35822
mc_real_v11_no_chat_spam,train/loss,2560,2.07238
mc_real_v11_no_chat_spam,train/loss,3072,0.43949
mc_real_v11_no_chat_spam,train/loss,3584,0.122405
mc_real_v11_no_chat_spam,train/loss,4096,0.403324
mc_real_v11_no_chat_spam,train/loss,4608,0.644109
mc_real_v11_no_chat_spam,train/loss,5120,0.437396
mc_real_v11_no_chat_spam,train/loss,5632,0.526202
mc_real_v11_no_chat_spam,train/loss,6144,0.460736
mc_real_v11_no_chat_spam,train/loss,6656,0.479827
