elapsed_s,ep_aim_rate,ep_approach_total,ep_attack_when_aimed,ep_full_log_max,ep_full_log_mean,ep_jump_rate,ep_len,ep_return,ep_yaw_rate,episode,global_step,logs_acquired,truncated,wall_t
1071.584790945053,1.0,0.0,5,0.8242835684185518,0.5824555597832786,0.0,7,39.02211785316467,0.0,22,424,1,False,1777344944.0549107
1192.7278871536255,0.8243243243243243,2.7328802003226147,29,0.7984085637293519,0.26494953343729005,0.013513513513513514,74,97.46268844604492,0.3108108108108108,23,498,1,False,1777345065.1980069
1226.870225906372,0.9285714285714286,0.0,7,0.7540542040239587,0.2980696853055661,0.0,14,44.70631146430969,0.42857142857142855,24,512,1,False,1777345099.3403456
1359.2370128631592,0.9864864864864865,4.282830729264358,29,0.7839662190043891,0.22240597584022864,0.12162162162162163,74,91.87985837459564,0.35135135135135137,25,586,0,True,1777345231.7071323
1394.122342824936,1.0,0.0,8,0.7149302559677884,0.35053547903762167,0.058823529411764705,17,33.190309286117554,0.29411764705882354,26,603,1,False,1777345266.5924625
1428.9723773002625,1.0,0.0,8,0.8798810662615199,0.44813305944728493,0.0,17,33.19172716140747,0.35294117647058826,27,620,1,False,1777345301.4424968
1563.1746628284454,1.0,0.0,31,0.9183563416738568,0.3178714670843544,0.07246376811594203,69,40.47219777107239,0.34782608695652173,28,689,0,True,1777345435.6447825
1599.9013576507568,1.0,0.0,9,0.9402982800015006,0.7908782771822968,0.09090909090909091,11,46.87460732460022,0.0,29,700,1,False,1777345472.3714774
1655.6752150058746,1.0,0.0,13,0.8325107695289543,0.3646562723713909,0.03125,32,42.38845598697662,0.375,30,732,1,False,1777345528.1453347
1720.0470497608185,0.9423076923076923,1.2218237704918036,14,0.7021142820522439,0.3737668832235339,0.038461538461538464,52,36.581013441085815,0.5192307692307693,31,784,1,False,1777345592.5171692
1746.1033153533936,1.0,0.0,6,0.7469383432744371,0.3114032916793449,0.1111111111111111,9,47.3460168838501,0.1111111111111111,32,793,1,False,1777345618.573435
1828.0522155761719,1.0,0.0,20,0.6897324498880845,0.21805858129669564,0.0975609756097561,41,64.25842642784119,0.2926829268292683,33,834,1,False,1777345700.5223353
1929.3801140785217,1.0,0.8546594234159879,24,0.7378334802615949,0.2744191073827754,0.047619047619047616,63,49.58974313735962,0.38095238095238093,34,897,1,False,1777345801.8502336
1986.2126822471619,1.0,0.0,12,0.7640711164046967,0.503905146482947,0.02040816326530612,49,6.970750570297241,0.5510204081632653,35,946,1,False,1777345858.6828017
2079.616954803467,1.0,0.0,22,0.6946006208500581,0.25010418898672804,0.01694915254237288,59,34.80308747291565,0.3898305084745763,36,1005,1,False,1777345952.0870743
2128.101982355118,1.0,0.4911350677120456,11,0.8200148335021445,0.36417106103979946,0.034482758620689655,29,38.07118844985962,0.4827586206896552,37,1034,1,False,1777346000.572102
2191.9515001773834,1.0,1.35,16,0.9298823948681397,0.36693441346446426,0.08333333333333333,24,61.1838675737381,0.125,38,1058,1,False,1777346064.42162
